OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
936,0,1140,558,Plaza + Eisenhower, ,42.243670000000002,-83.743369999999999, , , , , ,1,1,273661.335500000044703,4680474.639699999243021,4098.572975902650796
937,0,1182,1003,Michigan + Grove, ,42.241045000000000,-83.603195999999997, , , , , ,2,1,285218.135599999688566,4679820.097999999299645,11470.469288159696589
938,0,1183,1007,Grove + Spring, ,42.234588000000002,-83.602986000000001, , , , , ,2,1,285213.551199999637902,4679102.553099999204278,11773.401666601630495
939,0,1184,1020,Grove + Dorothy, ,42.221089999999997,-83.576948000000002, , , , , ,2,1,287316.894399999640882,4677538.346400000154972,14363.899267491626233
940,0,1185,1021,Grove + Mollie, ,42.221232000000001,-83.581007999999997, , , , , ,2,1,286982.265599999576807,4677564.257699999958277,14058.600287195456986
941,0,1186,1022,Harris + Wingate, ,42.224552000000003,-83.582228000000001, , , , , ,1,1,286892.742100000381470,4677935.975600000470877,13801.682924009592170
942,0,1187,1037,Michigan + Prospect, ,42.241114000000003,-83.601743999999997, , , , , ,1,1,285338.178000000305474,4679824.099300000816584,11578.874564860048849
943,0,1188,1039,Towner + Ecorse, ,42.239344000000003,-83.597285999999997, , , , , ,2,1,285700.025200000032783,4679616.323300000280142,11993.623628844439736
944,0,1189,1040,Ecorse + Maplewood, ,42.237161999999998,-83.597219999999993, , , , , ,2,1,285698.082799999974668,4679373.857899999246001,12091.312153533512173
945,0,1190,1041,Ecorse + Maus, ,42.235371000000001,-83.595482000000004, , , , , ,2,1,285835.438400000333786,4679170.605499999597669,12301.788570319378778
946,0,1191,1042,Ecorse + Redwood, ,42.235120000000002,-83.590580000000003, , , , , ,1,1,286239.103699999861419,4679130.419299999251962,12684.556190232318841
947,0,1192,1043,Ecorse + Glenwood, ,42.235022999999998,-83.586787999999999, , , , , ,2,1,286551.693500000052154,4679110.138299999758601,12977.467659567602823
948,0,1193,1254,Jackson + Wagner, ,42.285274999999999,-83.800758999999999, , , , , ,2,1,269078.163700000382960,4685248.881300000473857,5697.228394307998315
949,0,1194,1271,Meijer Jackson Rd, ,42.286673999999998,-83.843183999999994, , , , , ,1,1,265585.147199999541044,4685520.255899999290705,9196.071605902534429
950,0,1195,1273,Jackson + Parkland, ,42.285068000000003,-83.813085999999998, , , , , ,1,1,268060.966400000266731,4685259.424900000914931,6706.854183131939863
951,0,1196,1274,Jackson + Aprill, ,42.284801999999999,-83.807654999999997, , , , , ,2,1,268507.812800000421703,4685215.095399999991059,6257.957112074774159
952,0,1197,1275,Jackson + Nancy, ,42.284846000000002,-83.803712000000004, , , , , ,2,1,268833.100899999961257,4685209.260999999940395,5934.581134554626260
953,0,1198,1491,Jackson + Myrtle, ,42.286504000000001,-83.824472999999998, , , , , ,2,1,267127.327300000004470,4685449.993499999865890,7657.199640613828706
954,0,1203,1667,Ecorse +  Harris, ,42.234817999999997,-83.582470999999998, , , , , ,1,1,286907.243900000117719,4679076.564899999648333,13315.984720653894328
955,0,1207,2021,Clark + Ypsilanti Township Community Center, ,42.257908000000000,-83.568275000000000, , , , , ,1,1,288156.029199999757111,4681605.164699999615550,13733.771440953878482
