Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
948,Stadium + Ferdon,-83.725578,42.260986,2,1,3,69,0.023955,0.030754,30390,0,81,0,0,0.001223,14,2,0,0.091253,2,1,3
949,Stadium + Packard,-83.730614,42.260838,1,2,3,70,0.031628,0.04555,32008,0,81,0,0,0.000946,20,2,0,0.058561,1,2,3
950,Stadium + Ferndale,-83.734093,42.260727,1,1,2,77,0.028378,0.040513,2315,0,81,0,0,0.000578,20,2,0,0.048019,1,1,2
951,Stadium + E  Park,-83.737617,42.261707,1,1,2,76,0.029198,0.042806,2338,0,81,0,0,0.000667,20,2,0,0.044214,1,1,2
952,Stadium + Crisler,-83.745766,42.264126,1,1,2,75,0.030066,0.045804,2361,0,81,0,0,0.000742,20,2,0,0.043093,1,1,2
953,Stadium + Kipke,-83.744431,42.263596,1,1,2,73,0.028914,0.038345,31939,0,81,0,0,0.000805,20,2,0,0.162002,1,1,2
954,Stadium + South Industrial,-83.736679,42.261112,1,1,2,72,0.029765,0.040134,31962,0,81,0,0,0.00086,20,2,0,0.11895,1,1,2
955,Stadium + Woodbury,-83.734558,42.260632,1,1,2,71,0.030668,0.042346,31985,0,81,0,0,0.000907,20,2,0,0.081531,1,1,2
958,Stadium + Cayuga,-83.721306,42.260979,1,1,2,68,0.024538,0.031902,30413,0,81,0,0,0.001215,14,2,0,0.08101,1,1,2
959,St. Francis + Stadium,-83.715897,42.260242,1,1,2,67,0.025151,0.033354,30436,0,81,0,0,0.001208,14,2,0,0.067668,1,1,2
963,Overridge + Kenilworth,-83.708168,42.260426,1,1,2,62,0.028183,0.036729,29949,0,81,0,0,0.001427,14,2,0,0.081295,1,1,2
966,Arlington + Provincial,-83.706993,42.264771,1,1,2,59,0.030442,0.039723,30041,0,81,0,0,0.001362,14,2,0,0.086459,1,1,2
971,Geddes + Huntington,-83.712822,42.273071,1,1,2,58,0.035187,0.04661,38468,0,81,0,0,0.001574,15,2,0,0.079935,1,1,2
972,Geddes + Orchard Hills,-83.715004,42.273727,1,1,2,57,0.036437,0.048948,38491,0,81,0,0,0.001514,15,2,0,0.067416,1,1,2
973,Geddes + Awixa,-83.717644,42.274452,1,1,2,56,0.03778,0.05164,38514,0,81,0,0,0.001462,15,2,0,0.055497,1,1,2
974,Geddes + Highland,-83.720497,42.275013,1,1,2,55,0.039225,0.054794,38537,0,81,0,0,0.001418,15,2,0,0.04798,1,1,2
975,Geddes + Ridgeway,-83.723099,42.27544,1,1,2,54,0.040785,0.05857,38560,0,81,0,0,0.001382,15,2,0,0.044496,1,1,2
976,Geddes + Geddes Hgts,-83.724892,42.275734,1,1,2,53,0.042475,0.063232,38583,0,81,0,0,0.001349,15,2,0,0.043233,1,1,2
977,Geddes + Linden Street,-83.727654,42.276348,1,1,2,52,0.04431,0.069262,38606,0,81,0,0,0.001323,15,2,0,0.042861,1,1,2
978,Geddes + Elm Street,-83.730026,42.27702,1,1,2,51,0.046312,0.077716,38629,0,81,0,0.035657,0.0013,15,2,0,0.042768,1,1,2
980,Madison + First,-83.750877,42.274059,2,2,4,96,0.019625,0.030868,682,0,115,0,0,0.000759,16,2,0,0.077861,2,2,4
981,Madison + Fourth,-83.754913,42.27404,1,1,2,95,0.020011,0.030739,1312,0,115,0,0,0.000498,16,2,0,0.069102,1,1,2
982,Madison + Sixth,-83.757515,42.273972,2,2,4,94,0.020418,0.033304,2624,0,115,0,0,0.000995,16,2,0,0.108618,2,2,4
